marca_tiempo,id_maquina,linea,temperatura_c,vibracion_mm_s,presion_bar,unidades_producidas,estado
2025-06-02 06:00:00,MAQ-01,Linea A,58.92,2.738,4.939,141,OK
2025-06-02 06:15:00,MAQ-03,Linea B,71.72,2.958,5.03,153,OK
2025-06-02 06:30:00,MAQ-02,Linea A,67.93,1.284,5.315,117,OK
2025-06-02 06:45:00,MAQ-03,Linea B,73.1,3.32,5.999,105,OK
2025-06-02 07:00:00,MAQ-03,Linea B,69.37,4.427,5.017,85,OK
2025-06-02 07:15:00,MAQ-04,Linea B,75.93,1.374,4.197,160,OK
2025-06-02 07:30:00,MAQ-02,Linea A,60.89,1.889,5.222,107,OK
2025-06-02 07:45:00,MAQ-02,Linea A,67.56,3.345,5.092,118,OK
2025-06-02 08:00:00,MAQ-02,Linea A,69.04,2.516,5.729,81,OK
2025-06-02 08:15:00,MAQ-04,Linea B,57.42,3.045,4.961,97,OK
2025-06-02 08:30:00,MAQ-04,Linea B,56.72,3.512,5.535,140,OK
2025-06-02 08:45:00,MAQ-03,Linea B,62.85,1.301,5.769,135,OK
2025-06-02 09:00:00,MAQ-02,Linea A,73.34,2.404,5.082,158,OK
2025-06-02 09:15:00,MAQ-04,Linea B,93.17,3.15,4.965,125,ALARMA
2025-06-02 09:30:00,MAQ-04,Linea B,80.75,2.629,5.741,142,AVISO
2025-06-02 09:45:00,MAQ-04,Linea B,81.5,2.223,4.874,139,AVISO
2025-06-02 10:00:00,MAQ-03,Linea B,63.95,2.733,5.29,109,OK
2025-06-02 10:15:00,MAQ-01,Linea A,69.46,3.379,4.684,147,OK
2025-06-02 10:30:00,MAQ-03,Linea B,63.47,3.04,4.366,147,OK
2025-06-02 10:45:00,MAQ-01,Linea A,70.1,3.738,5.755,82,OK
2025-06-02 11:00:00,MAQ-03,Linea B,66.42,3.034,4.872,132,OK
2025-06-02 11:15:00,MAQ-01,Linea A,59.04,2.166,4.7,127,OK
2025-06-02 11:30:00,MAQ-04,Linea B,63.21,1.514,5.825,121,OK
2025-06-02 11:45:00,MAQ-03,Linea B,72.26,3.498,4.95,94,OK
2025-06-02 12:00:00,MAQ-03,Linea B,65.32,2.916,5.4,123,OK
2025-06-02 12:15:00,MAQ-01,Linea A,61.1,2.288,6.255,93,OK
2025-06-02 12:30:00,MAQ-02,Linea A,79.41,1.866,5.207,145,AVISO
2025-06-02 12:45:00,MAQ-02,Linea A,81.08,2.468,5.562,98,AVISO
2025-06-02 13:00:00,MAQ-02,Linea A,66.74,1.769,4.41,123,OK
2025-06-02 13:15:00,MAQ-03,Linea B,75.47,2.024,4.839,97,OK
2025-06-02 13:30:00,MAQ-01,Linea A,75.15,3.032,5.269,91,OK
2025-06-02 13:45:00,MAQ-02,Linea A,70.71,1.741,4.545,115,OK
2025-06-02 14:00:00,MAQ-03,Linea B,56.69,1.987,5.033,164,OK
2025-06-02 14:15:00,MAQ-04,Linea B,67.56,3.453,5.173,140,OK
2025-06-02 14:30:00,MAQ-01,Linea A,73.16,2.38,5.244,114,OK
2025-06-02 14:45:00,MAQ-03,Linea B,67.16,3.75,5.531,122,OK
2025-06-02 15:00:00,MAQ-04,Linea B,79.29,2.418,4.499,85,AVISO
2025-06-02 15:15:00,MAQ-03,Linea B,67.96,1.741,5.424,142,OK
2025-06-02 15:30:00,MAQ-04,Linea B,68.47,3.005,5.529,84,OK
2025-06-02 15:45:00,MAQ-01,Linea A,63.16,2.471,5.87,91,OK
2025-06-02 16:00:00,MAQ-01,Linea A,67.65,2.702,5.606,87,OK
2025-06-02 16:15:00,MAQ-04,Linea B,69.29,3.287,5.416,122,OK
2025-06-02 16:30:00,MAQ-01,Linea A,68.31,3.448,5.853,164,OK
