id_pedido,fecha,region,categoria,producto,unidades,precio_unitario,descuento_pct,canal,satisfaccion
PED-10153,2025-01-01,Centro,Electronica,"Tablet 10""",2,219.0,20,Tienda,3.0
PED-10030,2025-01-02,Sur,Deporte,Zapatilla Trail,4,119.0,0,Online,5.0
PED-10343,2025-01-02,Oeste,Oficina,Teclado Mecanico,3,89.9,10,Tienda,1.0
PED-10298,2025-01-02,Oeste,Hogar,Robot Aspirador,6,279.0,15,Tienda,2.0
PED-10144,2025-01-03,Sur,Deporte,Mochila 30L,5,64.0,20,Tienda,4.0
PED-10225,2025-01-03,Norte,Hogar,Robot Aspirador,6,279.0,0,Marketplace,3.0
PED-10137,2025-01-04,Este,Hogar,Cafetera Expres,2,189.0,5,Online,1.0
PED-10193,2025-01-04,Centro,Deporte,Zapatilla Trail,5,119.0,0,Online,1.0
PED-10152,2025-01-04,Este,Electronica,Smartwatch S2,7,149.0,0,Marketplace,5.0
PED-10405,2025-01-05,Centro,Electronica,Smartwatch S2,6,149.0,5,Tienda,2.0
PED-10227,2025-01-05,Norte,Deporte,Bidon 750ml,4,14.9,15,Marketplace,4.0
PED-10139,2025-01-05,Oeste,Hogar,Lampara LED,8,27.5,0,Online,5.0
PED-10348,2025-01-06,Oeste,Deporte,Bidon 750ml,3,14.9,0,Online,4.0
PED-10214,2025-01-06,Sur,Oficina,Silla Ergonomica,5,239.0,5,Tienda,2.0
PED-10100,2025-01-07,Oeste,Hogar,Lampara LED,8,27.5,20,Online,5.0
PED-10327,2025-01-08,Oeste,Deporte,Esterilla Yoga,6,32.0,0,Tienda,2.0
PED-10183,2025-01-09,Oeste,Hogar,Robot Aspirador,3,279.0,15,Online,1.0
PED-10351,2025-01-10,Este,Hogar,Juego Sabanas,7,44.9,10,Online,3.0
PED-10378,2025-01-11,Oeste,Oficina,Silla Ergonomica,6,239.0,0,Tienda,4.0
PED-10138,2025-01-12,Este,Hogar,Lampara LED,5,27.5,10,Online,4.0
PED-10335,2025-01-13,Centro,Hogar,Juego Sabanas,7,44.9,15,Online,3.0
PED-10145,2025-01-14,Centro,Deporte,Mochila 30L,1,64.0,0,Online,4.0
PED-10130,2025-01-14,Este,Electronica,"Tablet 10""",8,219.0,5,Online,5.0
PED-10149,2025-01-15,Este,Hogar,Robot Aspirador,3,279.0,0,Online,2.0
PED-10266,2025-01-15,Este,Electronica,Auriculares BT,7,59.9,5,Tienda,5.0
PED-10142,2025-01-15,Este,Hogar,Cafetera Expres,7,189.0,10,Tienda,4.0
PED-10416,2025-01-17,Este,Electronica,Auriculares BT,2,59.9,10,Marketplace,2.0
PED-10268,2025-01-17,Centro,Deporte,Bidon 750ml,6,14.9,0,Online,1.0
PED-10057,2025-01-18,Centro,Oficina,Teclado Mecanico,6,89.9,0,Online,1.0
